NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm
"Capim dourado",3398935,"PzOIc","PzOIc",230,"Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)","Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)",0,0,True,0,0,70,0
"Capim dourado",3398944,"PzOId","PzOId",230,"Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)","Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)",0,0,True,0,0,63,0
"Capim dourado",3398919,"PzRI","PzRI (3cm diam x 14 cm alt)",370,"Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)","Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)",0,0,True,0,0,70,0
"Capim dourado",3398941,"PzRIB","PzRIB (31 cm x 5cm  alt)",300,"Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)","Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)",0,0,True,0,0,60,0
"Capim dourado",3398933,"VsAI","VsAI (10 cm diam x 20cm alt)",190,"Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)","Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)",0,0,True,0,0,50,0
"Castanhas",2506090,"","Castanha de Baru torrada",30,"Castanha de Baru Torrada e Salgada
COMPRUP – COOPERATIVA MINI PRODUTORES RURAIS DE POCONÉ
Poconé-MT
Baru, farinha de mandioca e hortifrutigranjeiros","COMPRUP – COOPERATIVA MINI PRODUTORES RURAIS DE POCONÉ
Poconé-MT
Baru, farinha de mandioca e hortifrutigranjeiros",0,0,False,0,0,2,0
"Castanhas",3327570,"","Castanha de baru torrada 100g",165,"Castanha de baru torrada 100g
Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki

","Castanha de baru torrada 100g
Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki",0,0,False,17,0,6,0
"Castanhas",5025864,"","Castanha de Baru torrada 100g",150,"Castanha de Baru torrada 100g com pele, sem sal
Produzido por COPABASE
Torrado e envasado por Central do Cerrado
","Castanha de Baru torrada com pele, sem sal.
Produzido por COPABASE
Torrado e envasado por Central do Cerrado
Produto do extrativismo sustentável do Vale do Urucuia/MG.",40,15,True,0,0,10,10
"Castanhas",2466580,"","Castanha de baru torrada 100gr",150,"CEPPEC – Centro de Produção, Pesquisa e Capacitação do Cerrado
Nioaque – MS","CEPPEC – Centro de Produção, Pesquisa e Capacitação do Cerrado
Nioaque – MS
Tecelagem de algodão, lã e anafaia com tingimento natural e fibras e vegetais – Bolsas femininas, Bolas/pastas promocionais para eventos, capa para pastas, mantas, cachecol, jogos americano, tapetes, saias, chapéu/gorros, etc.
Castanha de baru, farinha de jatobá e pequi",0,0,False,0,0,8,0
"Castanhas",2466577,"","Castanha de baru torrada 200g",300,"Castanha de baru torrada 200g
Promessa de Futuro
Pirenópolis – GO","Castanha de baru torrada 200g
Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki",0,0,True,17,0,15,0
"Castanhas",3973013,"","Castanha de Baru torrada 200g",250,"Castanha de Baru torrada200g com pele, sem sal
Produzido por COPABASE
Torrado e envasado por Central do Cerrado
","Castanha de Baru torrada com pele, sem sal.
Produzido por COPABASE
Torrado e envasado por Central do Cerrado
Produto do extrativismo sustentável do Vale do Urucuia/MG.
",0,0,False,0,0,20,0
"Castanhas",3327573,"","Castanha de baru torrada 50g",75,"Castanha de baru torrada 50g
Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki","Castanha de baru torrada 50g
Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki",0,0,False,17,0,3,0
"Castanhas",2506091,"","Castanha de Baru torrada sem sal empacotada a vácuo 1kg",1200,"Cooperativa Agroextrativista em base de Agricultura Familiar Sustentável e Economia Solidária – COPABASE
Arinos-MG
","Congregando em seus quadros 150 agricultores familiares do Vale do Rio Urucuia, a Cooperativa Agroextrativista em base de Agricultura Familiar Sustentável e Economia Solidária – COPABASE tem por missão gerar trabalho e renda para as famílias, sob os princípios da Economia Popular Solidária.
",0,1,True,0,0,80,0
"Castanhas",2506094,"","Castanha de pequi torrada 50g",75,"Castanha de pequi 50g (torrada salgada)
COOPERJAP – Cooperativa do Produtores Rurais e Catadores de Pequi
Japonvar – MG","COOPERJAP – Cooperativa do Produtores Rurais e Catadores de Pequi
Japonvar – MG
Pequi em conserva, óleo de pequi, castanha de pequi e polpas de frutas nativas congeladas",0,0,False,0,0,10,0
"Cestas",5182980,"cx_3","Caixa de buriti grande",100,"Caixeta artesanal feita de talos de buriti.","Caixeta artesanal feita de talos de buriti.cc",0,0,True,0,0,30,0
"Cestas",5183164,"cx_2","Caixa de buriti média",100,"Caixeta artesanal feita de talos de buriti.","Caixeta artesanal feita de talos de buriti.",0,0,True,0,0,27,0
"Cestas",5183167,"cx_1","Caixa de buriti pequena",100,"Caixeta artesanal feita de talos de buriti.","Caixeta artesanal feita de talos de buriti.",0,0,True,0,0,21,0
"Conservas",2503616,"","Chutney de Manga",250,"Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki","Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki",0,0,False,0,0,15,0
"Conservas",2517408,"","Pequi caroço congelado - dúzia",300,"Pequi caroço congelado - dúzia
Cooperativa Agroextrativista Grande Sertão
Sede em Montes Claros – MG, porém com atuação em toda região do Norte de MG.","Cooperativa Agroextrativista Grande Sertão
Sede em Montes Claros – MG, porém com atuação em toda região do Norte de MG.
Polpas de fruta congelada: araçá, cajá, coquinho azedo, mangaba, maracujá nativo, panã/araticum, seriguela, tamarindo, acerola, abacaxi, goiaba, manga e maracujá. Pequi congelado, óleo de pequi, polpa de pequi em conserva, rapadurinha, açúcar mascavo, mel (apis), arroz de pilão, farinha de mandioca",10,0,False,0,0,10,0
"Conservas",2503635,"","Picles de Abóbora inteira",300,"Picles de Abóbora inteira
Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki","Picles de Abóbora inteira
Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki",0,0,False,17,0,8,0
"Conservas",3327534,"","Picles de Abóbora picada 250g",350,"Picles de Abóbora picada
Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki","Picles de Abóbora picada
Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki",0,0,False,17,0,8,0
"Conservas",2503638,"","Picles de Milho",500,"Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki","Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki",0,0,False,0,0,8,0
"Conservas",2503641,"","Picles de Pepino",300,"Picles de Pepino
Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki","Picles de Pepino
Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki",0,0,False,17,0,8,0
"Conservas",3327560,"","Picles de Quiabo 250g",300,"Picles de Quiabo
Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki","Picles de Quiabo
Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki",0,0,False,17,0,8,0
"Conservas",3974401,"","Polpa de pequi em conserva 250g",850,"Polpa de pequi em conserva 250g
CoopSertão
Chapada Gaucha - MG","Polpa de pequi em conserva 250g
CoopSertão
Chapada Gaucha - MG
Produto do extrativismo sustentável no entorno do Parque Nacional Grande Sertão Veredas.",0,0,False,0,0,15,0
"Conservas",2506100,"","Polpa de pequi em conserva 250g",615,"Polpa de pequi em conserva (250g drenado)
COOPERJAP – Cooperativa do Produtores Rurais e Catadores de Pequi
Japonvar – MG","COOPERJAP – Cooperativa do Produtores Rurais e Catadores de Pequi
Japonvar – MG

Cerca de 250 famílias, em 30 organizações de produtores, entre elas a Associação dos Pequenos Produtores Rurais da Cabeceira do Mangaí (Aprocam) participam do empreendimento e processaram o pequi em núcleos comunitários de despolpa. Com isso, o extrativismo está se transformando na principal fonte de renda dos produtores locais.",0,0,True,0,0,15,0
"Cosméticos",3305497,"","Condicionador Pacari e Gueroba 250ml",310,"Condicionador Pacari e Gueroba 250ml
Brilho e maciez para seus cabelos
Pacari Cerrado Ecoprodutivo (GO)
PACARI – Associação do Ipês
Buritis-GO","Condicionador Pacari e Gueroba 250ml
Pacari Cerrado Ecoprodutivo (GO)
Brilho e maciez para seus cabelos
PACARI – Associação do Ipês
Buritis-GO
Fitocosméticos (sabonete, óleo corporal e loção hidratante) a base de óleo do coco da gueroba
",0,0,False,17,0,15,0
"Cosméticos",2487132,"","Hidratante com óleo de Gueroba 200ml",250,"Loção hidratante com óleo de amêndoas de Gueroba aroma natural 200ml
Cerrado Eco-produtivos
PACARI – Associação do Ipês
Buritis-GO
Contém conhecimento tradicional
","Loção hidratante com óleo de amêndoas de Gueroba aroma natural 200ml
Cerrado Eco-produtivos
PACARI – Associação do Ipês
Buritis-GO
Fitocosméticos (sabonete, óleo corporal e loção hidratante) a base de óleo do coco da gueroba",0,0,False,17,0,30,0
"Cosméticos",3305495,"","Hidratante de Gueroba com essência 200ml",250,"Loção hidratante com óleo de amêndoas de Gueroba com essência 200ml
Cerrado Eco-produtivos
PACARI – Associação do Ipês
Buritis-GO","Loção hidratante com óleo de amêndoas de Gueroba com essência 200ml
Cerrado Eco-produtivos
PACARI – Associação do Ipês
Buritis-GO
Fitocosméticos (sabonete, óleo corporal e loção hidratante) a base de óleo do coco da gueroba",0,2,False,0,0,30,0
"Cosméticos",3305501,"","Hidratante de Gueroba e Buriti 120ml",200,"Óleo hidratante para o corpo Gueroba e Buriti 120ml
Cerrado Eco-produtivo
Massagem e Hidratação
Buritis-GO","Óleo hidratante para o corpo Gueroba e Buriti 120ml
Cerrado Eco-produtivo
Massagem e Hidratação
Buritis-GO
Fitocosméticos (sabonete, óleo corporal e loção hidratante) a base de óleo do coco da gueroba",0,0,False,17,0,20,0
"Cosméticos",3305503,"","Hidratante de Gueroba e Pequi 120ml",200,"Óleo hidratante para o corpo Gueroba e Pequi 120ml
Cerrado Eco-produtivo
Massagem e Hidratação
Buritis-GO","Óleo hidratante para o corpo Gueroba e Pequi 120ml
Cerrado Eco-produtivo
Massagem e Hidratação
Buritis-GO
Fitocosméticos (sabonete, óleo corporal e loção hidratante) a base de óleo do coco da gueroba",0,0,True,17,0,20,0
"Cosméticos",3305499,"","Óleo de Amêndoas de Gueroba - alecrim 120ml",200,"Óleo de Amêndoas de Gueroba - com óleo essencial de alecrim 120ml
Hidratação para o corpo
Buritis-GO
Fitocosméticos (sabonete, óleo corporal e loção hidratante) a base de óleo do coco da gueroba
","Óleo de Amêndoas de Gueroba - com óleo essencial de alecrim 120ml
Hidratação para o corpo
Buritis-GO
Fitocosméticos (sabonete, óleo corporal e loção hidratante) a base de óleo do coco da gueroba",0,0,True,0,0,20,0
"Cosméticos",2506101,"","Óleo de Amêndoas de Gueroba natural 120ml",150,"Óleo de Amêndoas de Gueroba - aroma natural 120ml
Cerrado Eco-produtivo
Massagem e Hidratação
PACARI – Associação do Ipês
Buritis-GO","Óleo de Amêndoas de Gueroba - aroma natural 120ml
Cerrado Eco-produtivo
Massagem e Hidratação
PACARI – Associação do Ipês
Buritis-GO
Fitocosméticos (sabonete, óleo corporal e loção hidratante) a base de óleo do coco da gueroba",0,0,True,17,0,20,0
"Cosméticos",2506086,"","Sabonete de Babaçu com Erva-Doce",115,"AMTR – Associação das Mulheres Trabalhadoras Rurais de Lago do Junco e Lago dos Rodrigues
Lago do Junco-MA
Sabonete de óleo de babaçu – Babaçu Livre","AMTR – Associação das Mulheres Trabalhadoras Rurais de Lago do Junco e Lago dos Rodrigues
Lago do Junco-MA
Sabonete de óleo de babaçu – Babaçu Livre",-9,150,True,17,0,4,0
"Cosméticos",5025859,"","Sabonete de Lavanda-90g",115,"AMTR – Associação das Mulheres Trabalhadoras Rurais de Lago do Junco e Lago dos Rodrigues
Lago do Junco-MA
Sabonete de óleo de lavanda – Babaçu Livre","AMTR – Associação das Mulheres Trabalhadoras Rurais de Lago do Junco e Lago dos Rodrigues
Lago do Junco-MA
Sabonete de óleo de lavanda – Babaçu Livre",0,0,False,17,0,4,0
"Cosméticos",5025857,"","Sabonete de Palmo-90g",115,"AMTR – Associação das Mulheres Trabalhadoras Rurais de Lago do Junco e Lago dos Rodrigues
Lago do Junco-MA
Sabonete de óleo de palmo – Babaçu Livre","AMTR – Associação das Mulheres Trabalhadoras Rurais de Lago do Junco e Lago dos Rodrigues
Lago do Junco-MA
Sabonete de óleo de palmo – Babaçu Livre",0,100,True,17,0,4,0
"Cosméticos",2506103,"","Sabonete Vegetal Gueroba e Argila 110g",200,"Sabonete vegetal gueroba argila
PACARI – Associação do Ipês
Buritis-GO
Fitocosméticos (sabonete, óleo corporal e loção hidratante) a base de óleo do coco da gueroba
","PACARI – Associação do Ipês
Buritis-GO
Fitocosméticos (sabonete, óleo corporal e loção hidratante) a base de óleo do coco da gueroba",0,0,False,0,0,8,0
"Cosméticos",3305457,"","Sabonete Vegetal Pacari e Gueroba - 110g",110,"Sabonete Vegetal Pacari e Gueroba - 110g
Cerrado Eco-produtivo
PACARI – Associação do Ipês
Buritis-GO","Sabonete Vegetal Pacari e Gueroba - 110g
Cerrado Eco-produtivo
PACARI – Associação do Ipês
Buritis-GO
Fitocosméticos (sabonete, óleo corporal e loção hidratante) a base de óleo do coco da gueroba",0,0,False,17,0,8,0
"Cosméticos",3305470,"","Shampoo  Pacari - cabelos oleosos - 250ml",300,"Shampoo  Pacari e Gueroba - Cabelos Oleosos - 250ml
PACARI – Associação do Ipês
Buritis-GO","Shampoo  Pacari e Gueroba - Cabelos Oleosos - 250ml 
PACARI – Associação do Ipês
Buritis-GO",0,0,False,17,0,15,0
"Cosméticos",3305463,"","Shampoo Pacari - cabelos normais - 250ml",300,"Shampoo Pacari e Gueroba - Cabelos Normais  - 250ml
Cerrado Eco-produtivo
PACARI – Associação do Ipês
Buritis-GO","Shampoo Pacari e Gueroba - Cabelos Normais  - 250ml
Cerrado Eco-produtivo
PACARI – Associação do Ipês
Buritis-GO
Fitocosméticos (sabonete, óleo corporal e loção hidratante) a base de óleo do coco da gueroba",0,0,False,17,0,15,0
"Derivados de cana",2466545,"","Açucar mascavo",1000,"CAV
Bom Sem Base
Turmaina-MG","CAV
Bom Sem Base
Turmaina-MG",0,0,False,0,0,14,0
"Derivados de cana",5182928,"","Açucar Mascavo - 1Kg",1000,"COPABASE - Cooperativa Agroextrativista em base de Agricultura Familiar Sustentável e Economia Solidária. Congrega em seus quadros 150 agricultores familiares do Vale do Rio Urucuia.","Congregando em seus quadros 150 agricultores familiares do Vale do Rio Urucuia, a Cooperativa Agroextrativista em base de Agricultura Familiar Sustentável e Economia Solidária – COPABASE tem por missão gerar trabalho e renda para as famílias, sob os princípios da Economia Popular Solidária.",0,0,True,0,0,10,0
"Derivados de cana",2517048,"","Melado de Cana 500ml",500,"Pé de Serra
Bonito – MS
Geléias, doces, compotas e conservas de pimenta","Pé de Serra
Bonito – MS
Geléias, doces, compotas e conservas de pimenta",0,0,False,0,0,10,0
"Derivados de cana",2517049,"","Rapadura de Amendoim",250,"Pé de Serra
Bonito – MS
Geléias, doces, compotas e conservas de pimenta","Pé de Serra
Bonito – MS
Geléias, doces, compotas e conservas de pimenta",10,0,False,0,0,6,0
"Derivados de cana",2517402,"","Rapadura de Bocaúva",500,"Pé de Serra
Bonito – MS
Geléias, doces, compotas e conservas de pimenta","Pé de Serra
Bonito – MS
Geléias, doces, compotas e conservas de pimenta",0,0,False,0,0,10,0
"Derivados de cana",2517399,"","Rapadura de Gergelim",250,"Pé de Serra
Bonito – MS
Geléias, doces, compotas e conservas de pimenta","Pé de Serra
Bonito – MS
Geléias, doces, compotas e conservas de pimenta",10,0,False,0,0,6,0
"Derivados de cana",2517401,"","Rapadura de Gergelim",500,"Pé de Serra
Bonito – MS
Geléias, doces, compotas e conservas de pimenta","Pé de Serra
Bonito – MS
Geléias, doces, compotas e conservas de pimenta",0,0,False,0,0,10,0
"Derivados de cana",2517403,"","Rapadura de Jaracatiá",500,"Pé de Serra
Bonito – MS
Geléias, doces, compotas e conservas de pimenta","Pé de Serra
Bonito – MS
Geléias, doces, compotas e conservas de pimenta",0,0,False,0,0,10,0
"Derivados de cana",2517405,"","Rapadura de Leite",500,"Pé de Serra
Bonito – MS
Geléias, doces, compotas e conservas de pimenta","Pé de Serra
Bonito – MS
Geléias, doces, compotas e conservas de pimenta",0,0,False,0,0,10,0
"Derivados de cana",2517409,"","Rapadurinha 50g",50,"Cooperativa Agroextrativista Grande Sertão
Sede em Montes Claros – MG, porém com atuação em toda região do Norte de MG.","Cooperativa Agroextrativista Grande Sertão
Sede em Montes Claros – MG, porém com atuação em toda região do Norte de MG.
Polpas de fruta congelada: araçá, cajá, coquinho azedo, mangaba, maracujá nativo, panã/araticum, seriguela, tamarindo, acerola, abacaxi, goiaba, manga e maracujá. Pequi congelado, óleo de pequi, polpa de pequi em conserva, rapadurinha, açúcar mascavo, mel (apis), arroz de pilão, farinha de mandioca",0,0,False,0,0,2,0
"Doces e Geléias",3327342,"","Barra de cereal de baru e jatobá",30,"Nutri de baru, jatobá, mel e farinha de mandioca produzido pela PHYTOBRASIL / AGROTEC – Centro de Tecnologia Agroecológica de Pequenos Agricultores em Diorama – GO.","Nutri de baru, jatobá, mel e farinha de mandioca produzido pela PHYTOBRASIL / AGROTEC – Centro de Tecnologia Agroecológica de Pequenos Agricultores em Diorama – GO.

Nutri do Cerrado
Validade: 3 meses",0,0,False,17,0,3,0
"Doces e Geléias",5699862,"","Barutella - 180g",500,"Nonna Pasqua
Goiânia - GO

Barutella é a deliciosa combinação de Cacau, Chocolate Amargo e castanha Baru

Pode ser consumida in natura, com pães ou em sobremesas, bolos, crepes e tapiocas","Nonna Pasqua
Goiânia - GO

Barutella é a deliciosa combinação de Cacau, Chocolate Amargo e castanha Baru

Pode ser consumida in natura, com pães ou em recheio de sobremesas, bolos, crepes e tapiocas",24,10,True,0,0,15,0
"Doces e Geléias",2503624,"","Geléia de Cagaita 240g",0,"Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki","Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki",0,0,False,0,0,15,0
"Doces e Geléias",2503618,"","Geléia de Hibiscus com canela 240g",480,"Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki","Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki",0,0,True,0,0,15,0
"Doces e Geléias",2503622,"","Geléia de Hibiscus puro 240g",480,"Geléia de Hibiscus puro
Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki","Geléia de Hibiscus puro
Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki",0,0,True,17,0,15,0
"Doces e Geléias",2503628,"","Geléia de Jaboticaba 190g",350,"Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki","Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki",0,0,True,0,0,15,0
"Doces e Geléias",2503632,"","Geléia de Tangerina290g",250,"Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki","Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki",0,0,False,0,0,6,0
"Doces e Geléias",2466591,"","Geléias de Manga 250g",0,"Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki","Promessa de Futuro
Pirenópolis – GO
Picles, geléias, chutney, castanha de baru, feijão azuki",0,0,False,0,0,15,0
